CAMPUS,C20AD12R,C20BKA12R,C20BTA12R,C30AD12R,C30BKA12R,C30BTA12R,C40AD12R,C40BKA12R,C40BTA12R,CA0AD12R,CA0BKA12R,CA0BTA12R,CAHEE12R,CB0AD12R,CB0BKA12R,CB0BTA12R,CE0AD12R,CE0BKA12R,CE0BTA12R,CF0AD12R,CF0BKA12R,CF0BTA12R,CH0AD12R,CH0BKA12R,CH0BTA12R,CI0AD12R,CI0BKA12R,CI0BTA12R,CL0AD12R,CM0AD12R,CM0BKA12R,CM0BTA12R,CR0AD12R,CS0AD12R,CW0AD12R,CW0BKA12R,CW0BTA12R
"043904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905001",29.4,-1,25,61,78.6,67.7,-1,.,-1,39.2,75,33.8,55.7,30.2,84.2,18.3,23.2,73.3,11.4,36.3,75.9,34.6,28.5,68.6,23.2,23.1,.,0,8.1,42,74.1,33,12.7,8.9,41.9,74,37
"043905002",42.6,100,38.9,54.2,87.2,58,-1,-1,-1,37,82.6,34.5,67.4,29.4,70,24.1,30.8,82.6,26.1,37.2,84.3,38,30,83.9,25.8,26.7,-1,25,11.1,36.8,80.6,31.3,11.6,7.9,36.7,81.6,34.5
"043905005",39.2,100,41.2,50.8,88.9,72,-1,.,-1,41.9,76.8,33,61.2,30.1,46.7,23.8,25.2,-1,6.1,44.4,79,33,34.1,77.8,22.7,30.8,-1,16.7,7.7,39.6,74.6,33.1,12.6,13.3,44.9,76.9,34.7
"043905006",32.6,71.4,30.4,63.3,87.7,75,-1,.,-1,42,83.6,36.9,63.6,26.7,55,14.4,29.1,68.2,19.1,43.7,80.7,37.7,34.1,88.9,28.1,28.6,.,-1,26.1,40.5,86.3,36.3,22.5,13.4,40.6,83.8,33
"043905007",42.5,80,33.3,60.4,73.9,52.3,50,-1,-1,40,68.3,31.6,.,33.3,54.8,23.5,29.9,56.7,25.2,44.3,66.1,34,32.1,57.1,28,33.3,-1,14.3,16.7,36.1,70.9,29.3,15.9,4.5,40.3,73.6,30.7
"043905008",31.6,-1,57.1,52.7,80,53.6,0,.,-1,42.5,70.2,34.3,.,35,41.2,22.1,29.6,64.3,29.2,44.1,67.6,42,40.3,66.7,34.8,-1,.,-1,33.3,40.8,74,27,24,10.9,46.4,75,36.4
"043905041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905043",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905044",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905045",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905046",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905047",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905048",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905049",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905050",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905051",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905052",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905053",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905054",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905105",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905106",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043905107",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
